condition,condition2,policy1,policy2,policy3,policy4,policy5,policy6,rehab1,rehab2,rehab3,rehab4,age,gender,ethnicity,education,politicalid,attentive
0,4,1,1,2,2,4,5,5,1,5,1,22,2,1,4,2,1
0,4,4,5,4,5,5,4,5,2,5,4,42,2,3,4,,1
0,4,5,4,5,5,4,5,3,2,4,3,77,1,1,5,3,1
0,4,4,4,5,5,5,1,5,1,5,4,20,2,1,4,3,1
0,4,4,5,4,4,5,4,4,4,4,5,26,1,1,4,6,0
0,4,5,5,3,4,5,5,4,1,4,4,34,1,3,4,,1
0,4,3,5,5,5,5,4,3,2,3,4,32,1,1,5,3,1
0,4,4,4,4,4,4,2,4,1,3,4,49,2,1,4,4,1
0,4,5,5,5,5,5,5,4,2,4,5,75,1,1,5,5,1
0,4,2,3,5,5,5,4,5,1,5,3,21,2,2,5,3,1
0,4,2,2,2,4,5,3,4,2,4,3,36,1,1,4,3,1
0,4,2,1,4,2,4,4,5,1,5,2,46,1,6,4,3,1
0,4,3,4,4,4,5,2,4,1,4,4,38,1,2,5,3,1
0,4,2,2,4,4,2,2,4,2,5,4,43,2,1,4,2,1
0,4,3,2,3,4,2,4,4,1,5,3,70,1,1,4,3,1
0,4,4,4,3,4,5,5,4,1,5,3,27,2,3,4,,1
0,4,4,4,4,5,4,4,4,2,4,4,47,1,3,2,,1
0,4,2,1,1,4,4,3,5,1,5,1,57,2,1,2,3,1
0,4,4,3,4,2,5,3,4,1,5,3,47,1,3,4,5,1
0,4,4,4,4,4,4,3,4,2,4,4,38,1,1,3,5,1
